"","Sr","Test Name","Normal Range","Unit","Default Value","Cate","Type","Valid","Highligh"
"","589","Blood Glucose 2 hrs.","Less Than 153","mg/dl","","Standard","Decimal","0 - 459","0 - 153"
"","590","HDL Cholesterol","Greater Than 40","mg/dl","","Standard","Decimal","0 - 400","40 - 200"
"","591","LDH (Fluid)","125 - 243","U/L","","Standard","Decimal","0 - 729","125 - 243"
"","592","LDL Cholesterol","Desirable: < 99Above Desirable: 100-129Borderline: 130 - 159High: 160 - 189Very High: > 190","mg/dl","","Standard","Decimal","0 - 480","0 - 160"
"","593","Bilirubin Total","Adult: 0.2 - 1.2Cord: < 2Newborns, premature:0-1 Days: 1.0 - 8.01-2 Days: 6.0 - 12.03-5 Days: 10.0 - 14.0Newborns, full term:0-1 Days: 2.0 - 6.01-2 Days: 6.0 - 10.03-5 Days: 4.0 - 8.0","mg/dl","","Standard","Decimal","0 - 99999","0.2 - 1.2"
"","594","SGPT (ALT)","Male: < 45Female: < 34","U/L","","Standard","Decimal","0 - 99999","0 - 45"
"","595","SGOT (AST)","Male: < 37, Female: < 31","U/L","","Standard","Decimal","0 - 99999","0 - 37"
"","596","Alkaline Phosphatase","Male 20-50 Years: 53 - 128Male >60 Years: 56 - 119Female 20-50 Years: 42 - 98Female >60 Years: 53 - 141Child 1-12 Years: < 460","U/L","","Standard","Decimal","0 - 5000","42 - 141"
"","597","Total Protein","Adult: 6.6 - 8.7ChildPre-matures: 3.4 - 5.0Newborns: 4.6 - 6.8Upto 1 Years: 6.0 - 8.0Above 1 Years: 4.8 - 7.6","g/dL","","Standard","Decimal","0 - 26.1","6.6 - 8.7"
"","598","Globulins","1.8 - 3.4","g/dl","","Standard","Formula","0 - 999999","1.8 - 3.4"
"","599","Serum Cholesterol","Desirable: < 200Boderline High: 200 - 239High: > 240","mg/dl","","Standard","Decimal","0 - 720","0 - 240"
"","600","Triglycerides","Normal:< 150Borderline: 150 - 199High: 200 - 499Very High: > 500","mg/dl","","Standard","Decimal","0 - 2500","0 - 200"
"","601","HDL Cholesterol","No Risk: > 60Moderate Risk: 40 - 60High Risk: < 40","mg/dl","","Standard","Decimal","0 - 400","40 - 200"
"","602","Cholesterol / HDL Cholesterol Ratio","Desirable: 3.5 to 5.0High: > 5.0","mg/dl","","Standard","Formula","0 - 500","0 - 5"
"","603","V.L.D.L","Normal: < 30Borderline High: 30 to 40High: 40 to 100Very High: > 100","mg/dl","","Standard","Decimal","0 - 120","0 - 40"
"","604","Metanephrine (24 Hours Urine)","20.0 - 345.0","ug/24hrs","","Standard","Decimal","0 - 1035","20 - 345"
"","605","Phenylalanine (Blood)","0.80 - 2.80","mg/dl","","Standard","Decimal","0 - 8.4","0.8 - 2.8"
"","606","Phosphate (Serum)","Adult: 2.5 - 5.0Child: 4.0 - 7.0","mg/dl","","Standard","Decimal","0 - 21","2.5 - 7"
"","607","24 Hours Urinary Phosphatase","400 - 1300","mg/24 h","","Standard","Decimal","0 - 3900","400 - 1300"
"","608","Protein (Albumin) Spot Urine","Less Than 25","mg/dl","","Standard","Decimal","0 - 75","0 - 25"
"","609","Protein / Creatinine Ratio (Spot Urine)","(See below)","","","Standard","Decimal","0 - 500","0 - 99999"
"","610","Protein C","72.0 - 160.0","%","","Standard","Decimal","0 - 300","72 - 160"
"","611","Protein S","60.0 - 150.0","%","","Standard","Decimal","0 - 300","60 - 150"
"","612","Urea","13 - 43","mg/dl","","Standard","Decimal","0 - 999","13 - 43"
"","613","Creatinine","Male: 0.7 - 1.2Female: 0.6 - 1.1Child1 Day: 0.6 - 1.23 Months: 0.2 - 0.41 Year: 0.3 - 0.72-12 Years: 0.35 - 1.0","mg/dl","","Standard","Decimal","0 - 40","0.6 - 1.2"
"","614","S.G.O.T (A.S.T)","Male:< 37Female: < 31","U/L","","Standard","Decimal","0 - 99999","0 - 37"
"","615","Serum Chloride","99 - 107","mmol/L","","Standard","Decimal","0 - 999","99 - 107"
"","616","Serum Sodium","135.0 - 148.0","mmol/L","","Standard","Decimal","0 - 444","135 - 148"
"","617","Serum Potassium","3.50 - 5.30","mmol/L","","Standard","Decimal","0 - 15.9","3.5 - 5.3"
"","618","Chloride","99.0 - 107.0","mmol/l","","Standard","Decimal","0 - 321","99 - 107"
"","619","Serum Bicarbonate","24 - 33","meq/L","","Standard","Decimal","0 - 99","24 - 33"
"","620","Serum Iron","Male: 59 - 148Female: 37 - 145","µg/dL","","Standard","Decimal","0 - 444","37 - 148"
"","621","Serum Lipase","10 - 60","U/l","","Standard","Decimal","0 - 1500","10 - 60"
"","622","Serum Magnesium","1.7 - 2.5","mg/dl","","Standard","Decimal","0 - 7.5","1.7 - 2.5"
"","623","Uric Acid","Female: 2.6 - 6.0Male: 3.5 - 7.2","mg/dl","","Standard","Decimal","0 - 99","2.6 - 7.2"
"","624","T.I.B.C.","274 - 385","µg/dL","","Standard","Decimal","0 - 1155","274 - 385"
"","625","Iron","Male: 59 - 148, Female: 37 - 145","µg/dL","","Standard","Decimal","0 - 444","37 - 148"
"","626","Transferrin Saturation","Male: 12 - 36, Female:10 - 39","%","","Standard","Decimal","0 - 100","10 - 39"
"","627","Urea Nitrogen (Spot Urine)","0.08 - 0.22","g/L","","Standard","Decimal","0 - 0.66","0.08 - 0.22"
"","628","Potassium (Urine)","25.0 - 125.0","m.mol/l","","Standard","Decimal","0 - 375","25 - 125"
"","629","Sodium Na+ (Urine)","40.0 - 220.0","m.mol/l","","Standard","Decimal","0 - 660","40 - 220"
"","630","Zinc","70.0 - 114.0","ug/dl","","Standard","Decimal","0 - 342","70 - 114"
"","631","Mycobacterium Tuberculosis (MTB) DNA AND Rifampicin (RIF)Resistance Genes","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","632","HBV By PCR","","","","Descriptive","Text","0 - 500","0 - 99999"
"","633","IU/ml","-","IU/ml","","Standard","Text","0 - 500","0 - 99999"
"","634","HCV BY PCR","","","","Descriptive","Text","0 - 500","0 - 99999"
"","635","HCV Genotype","","","","Descriptive","Text","0 - 250","0 - 99999"
"","636","HDV By PCR (Qualitative) Real Time","","","","Descriptive","Text","0 - 500","0 - 99999"
